code,name,start_date,end_date,cup_formed,reason
000422,湖北宜化,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000423,东阿阿胶,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000425,徐工机械,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000426,兴业银锡,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000428,华天酒店,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000429,粤高速Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000498,山东路桥,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000501,武商集团,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000503,国新健康,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000505,京粮控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000506,招金黄金,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000507,珠海港,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000509,华塑控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000510,新金路,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000513,丽珠集团,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000514,渝 开 发,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000516,国际医学,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000517,荣安地产,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000519,中兵红箭,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000520,凤凰航运,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000521,长虹美菱,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000523,红棉股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000524,岭南控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000525,红太阳,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000526,学大教育,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000528,柳 工,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000529,广弘控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000530,冰山冷热,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000531,穗恒运Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000532,华金资本,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000533,顺钠股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000534,万泽股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000536,华映科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000537,绿发电力,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000538,云南白药,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000539,粤电力Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000541,佛山照明,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000543,皖能电力,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000544,中原环保,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000545,金浦钛业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
